test_column,n_valid_points,calibrated_correlation,calibrated_current_accuracy,calibrated_standardized_accuracy,calibrated_wasserstein_distance,calibrated_std_ratio,calibrated_mean_difference,calibrated_cohens_d,calibrated_n_points,calibrated_human_std,original_correlation,original_current_accuracy,original_standardized_accuracy,original_wasserstein_distance,original_std_ratio,original_mean_difference,original_cohens_d,original_n_points,original_human_std,fit_r2,fit_adj_r2,fit_mse,fit_rmse,fit_f_stat,fit_f_pvalue,fit_residual_std,fit_n_significant_coefs,fit_n_features,fit_n_samples
Q13,999,0.322670676968292,0.7563232113185023,0.7522107814111167,0.1229441249988835,0.8017608696419765,0.11157285793899319,0.4578309305922119,999,0.03163859985841663,0.2758609020961883,0.7762762762762763,0.752174611264653,0.061561561561561555,0.870231634844494,0.025025025025025016,0.09928709658447911,999,0.03163859985841663,0.6011914656283421,0.5664369092560844,0.3493823001385987,0.5910856961038718,17.298205714063812,1.1102230246251565e-16,0.5910856961038718,10,80,999
Q15,999,0.45091975614502405,0.8212259855214733,0.8070121621588234,0.11354019664523948,0.5590087305499027,0.08186616912068123,0.4219002016555892,999,0.03163859985841663,0.3149664772366057,0.7977977977977978,0.779059029140884,0.14514514514514515,0.633684503429077,0.1451451451451451,0.7238534871027996,999,0.03163859985841663,0.4576031848450822,0.41033548853528545,0.19994313544873502,0.4471500144791846,9.681097674951399,1.1102230246251565e-16,0.44715001447918457,6,80,999
Q6,999,0.5074388182915132,0.7750361699839525,0.7631888655163758,0.07619179122521204,0.8902461447860847,0.017236004319077458,0.059981379596977184,999,0.03163859985841663,0.6797982760398142,0.7992992992992993,0.7993127857934207,0.13563563563563563,0.9988083736058118,0.13563563563563563,0.4471277593005732,999,0.03163859985841663,0.6219436323407669,0.5889975436558663,0.5559589849914536,0.7456265720797869,18.87761665092007,1.1102230246251565e-16,0.7456265720797869,12,80,999
Q9,999,0.29363425003166765,0.7530051759762466,0.7278666437414056,0.1344712376976471,0.7239881645023315,0.039319722250496326,0.15460511202429986,999,0.03163859985841663,0.1555333040906194,0.7470804137470803,0.7379070194404533,0.025358692025358703,0.9544851231489798,0.0053386720053387,0.018746779318172684,999,0.03163859985841663,0.6232937870142392,0.5904653588673319,0.26215404497878325,0.5120098094556229,18.98640362020986,1.1102230246251565e-16,0.5120098094556228,7,80,999
job1_item1,999,0.5797821150880128,0.7634454392166669,0.7735597770948166,0.19937124755199295,0.30964270810269934,0.1614237694288838,0.698542431387132,999,0.03163859985841663,0.17342383926608185,0.7440774107440774,0.6729304318574906,0.22956289622956286,0.2588686875584523,0.15949282615949278,0.6994599144236553,999,0.03163859985841663,0.3505381794526309,0.2939401994485029,0.15269756184664834,0.3907653539486943,6.193475092698787,1.1102230246251565e-16,0.3907653539486943,9,80,999
job1_item6,999,0.6958486649263389,0.8882138270230877,0.8814268736648504,0.051064270039389535,0.8245017792226639,0.02019570250057745,0.10552444007140815,999,0.03163859985841663,0.13097143317944687,0.8226559893226559,0.7867268622838723,0.11161161161161161,0.525735855201596,0.07057057057057052,0.4230131136097857,999,0.03163859985841663,0.8231156984633112,0.8077009445167588,0.07675565772046779,0.27704811445030225,53.397913539022525,1.1102230246251565e-16,0.27704811445030225,15,80,999
job1_item7,999,0.6665596338360537,0.8767393693469819,0.867523327570838,0.04648198440295053,0.8537905512480904,0.013289324753062251,0.06538395022034969,999,0.03163859985841663,0.08914379641648536,0.8213213213213213,0.7683443166330751,0.09592926259592927,0.49417154018385007,0.04287620954287622,0.2486742548584928,999,0.03163859985841663,0.8882762238519922,0.8785399470634948,0.046936700985950715,0.21664879641011328,91.23366592262617,1.1102230246251565e-16,0.21664879641011328,14,80,999
job2_item2,999,0.6972451926929858,0.8171387106810712,0.8316761597497194,0.11114284148904012,0.7878670928629982,0.10755176390801029,0.43131507378088335,999,0.03163859985841663,0.09073955232208254,0.7265598932265599,0.6969036223575187,0.18301634968301636,0.5256044985279016,0.17634300967634298,0.7969327956119133,999,0.03163859985841663,0.739519447577169,0.7168196173006696,0.19877412859724555,0.44584092297280825,32.57819281330817,1.1102230246251565e-16,0.4458409229728083,13,80,999
job2_item5,999,0.752099119405557,0.9073400299383685,0.9060690543537205,0.038998106693652355,0.9665663337236037,0.0010051340380255642,0.0056023995807412425,999,0.03163859985841663,0.16797358800004894,0.8595261928595261,0.8156471683682444,0.07374040707374041,0.5443367440570137,0.017684351017684286,0.12040441329911956,999,0.03163859985841663,0.8945254217716633,0.8853337373944662,0.037445762841157915,0.19350907689604102,97.31898801821552,1.1102230246251565e-16,0.193509076896041,11,80,999
job2_item6,999,0.7420493608409398,0.8979946211842301,0.8944608259804215,0.046280299102220486,0.9313512846856292,0.03156536219165126,0.1637620544886916,999,0.03163859985841663,0.18090357493888237,0.8393393393393394,0.7947157749279066,0.08925592258925592,0.5050275008664271,0.047881214547881225,0.30301010468307354,999,0.03163859985841663,0.8614976034400043,0.8494276778138609,0.05060272970476485,0.2249505050111354,71.37555193993931,1.1102230246251565e-16,0.22495050501113537,9,80,999
